timestamp,pattern_name,mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
20250811_153148,rand_0883WEOFDQ,scramble,-0.037345140809293034,64,-0.03775285961993821,27,-0.038293751297496764,15,-0.036197978754271415,22
20250811_153148,rand_0883WEOFDQ,split,-0.018424494451533525,49,-0.01148732623805692,15,-0.01397658612440277,13,-0.02613308166366919,21
20250811_153703,rand_08JNMI8ORP,inversion,-0.06908217260122632,34,-0.07262896372632795,23,-0.061666154794195634,11,0,0
20250811_153703,rand_08JNMI8ORP,design_params,-0.05835172716046886,40,-0.08299302820853885,20,-0.03371042611239886,20,0,0
20250811_153703,rand_08JNMI8ORP,scramble,-0.05138090988765309,39,-0.03747557510409274,23,-0.07136982863902108,16,0,0
20250811_153703,rand_08JNMI8ORP,rotate,-0.0633395931329892,41,-0.051973493639287424,25,-0.08109912359189826,16,0,0
20250811_153703,rand_08JNMI8ORP,swap,-0.07460253356627827,23,-0.08046132335864707,13,-0.06698610683619884,10,0,0
20250811_153703,rand_08JNMI8ORP,insertion,-0.06252176477537882,41,-0.0630797651861043,25,-0.0616498891336203,16,0,0
20250811_153703,rand_08JNMI8ORP,split,-0.025642777366791738,32,-0.033831383966689985,21,-0.010009982948804175,11,0,0
20250811_154013,rand_09OHSXSIJE,split,-0.038591651257612894,42,-0.03151048705842728,25,-0.04900512802112115,17,0,0
20250811_154013,rand_09OHSXSIJE,design_params,-0.11327006554856513,44,-0.11332954846356887,24,-0.11319868605056067,20,0,0
20250811_154013,rand_09OHSXSIJE,scramble,-0.047438816399141645,40,-0.04921182380518858,24,-0.044779305290071236,16,0,0
20250811_154013,rand_09OHSXSIJE,swap,-0.08852972466863789,31,-0.08810881679574968,22,-0.08955861058014247,9,0,0
20250811_154013,rand_09OHSXSIJE,inversion,-0.09167092992252025,38,-0.09320716217152229,22,-0.08955861058014247,16,0,0
20250811_154013,rand_09OHSXSIJE,insertion,-0.058443103135717975,27,-0.07063567073522956,16,-0.04070845935461021,11,0,0
20250811_154013,rand_09OHSXSIJE,rotate,-0.09683628768474342,28,-0.09519291071841843,17,-0.09937605208724568,11,0,0
